ID,Remarks,N,Average_GFLOPS/s,Averange_Time/s,GFLOPS,GFLOPS/s_Iteration1
1,v1,256,4.497722,0.007519,0.033817,4.497722
2,v1,512,199.456132,0.001351,0.269484,199.456132
3,v1,768,288.357475,0.00315,0.908329,288.357475
4,v1,1024,360.922361,0.005962,2.151678,360.922361
5,v1,1280,320.297723,0.013115,4.200858,320.297723
6,v1,1536,416.945827,0.017406,7.257194,416.945827
7,v1,1792,413.185831,0.027886,11.522015,413.185831
8,v1,2048,424.31533,0.040528,17.196646,424.31533
9,v1,3072,252.008678,0.230229,58.019807,252.008678
10,v1,4096,228.564983,0.601606,137.506062,228.564983
11,v1,5120,224.057708,1.198532,268.540314,224.057708
12,v1,6144,221.113337,2.098505,464.007463,221.113337
13,v1,7168,195.825007,3.762504,736.792412,195.825007
14,v1,8192,202.90673,5.420126,1099.780063,202.90673
15,v1,10240,213.505585,10.060173,2147.903078,213.505585
16,v1,12288,206.166926,18.002188,3711.455724,206.166926
17,v1,16384,207.702273,42.354697,8797.166764,207.702273
18,v1,20480,198.248803,86.666586,17181.546906,198.248803
1,v2,256,5.625506,0.006011,0.033817,5.625506
2,v2,512,40.412671,0.006668,0.269484,40.412671
3,v2,768,96.092975,0.009453,0.908329,96.092975
4,v2,1024,200.986391,0.010706,2.151678,200.986391
5,v2,1280,544.010184,0.007722,4.200858,544.010184
6,v2,1536,460.1111,0.015773,7.257194,460.1111
7,v2,1792,546.561847,0.021081,11.522015,546.561847
8,v2,2048,370.143622,0.046459,17.196646,370.143622
9,v2,3072,371.231262,0.15629,58.019807,371.231262
10,v2,4096,325.130773,0.422925,137.506062,325.130773
11,v2,5120,328.359376,0.817824,268.540314,328.359376
12,v2,6144,300.389837,1.544684,464.007463,300.389837
13,v2,7168,315.26615,2.337049,736.792412,315.26615
14,v2,8192,292.926531,3.754457,1099.780063,292.926531
15,v2,10240,282.21502,7.610874,2147.903078,282.21502
16,v2,12288,279.807121,13.264336,3711.455724,279.807121
17,v2,16384,227.841113,38.610972,8797.166764,227.841113
18,v2,20480,257.352292,66.762751,17181.546906,257.352292
1,v0,256,0.84391,0.040071,0.033817,0.84391
2,v0,512,0.514942,0.523329,0.269484,0.514942
3,v0,768,0.614934,1.477117,0.908329,0.614934
4,v0,1024,0.4219,5.099972,2.151678,0.4219
5,v0,1280,0.433424,9.692253,4.200858,0.433424
6,v0,1536,0.377927,19.202653,7.257194,0.377927
7,v0,1792,0.368627,31.256597,11.522015,0.368627
8,v0,2048,0.359678,47.811224,17.196646,0.359678
1,v3,256,24.175388,0.001399,0.033817,24.175388
2,v3,512,625.683893,0.000431,0.269484,625.683893
3,v3,768,608.83864,0.001492,0.908329,608.83864
4,v3,1024,512.49852,0.004198,2.151678,512.49852
5,v3,1280,750.770122,0.005595,4.200858,750.770122
6,v3,1536,668.514738,0.010856,7.257194,668.514738
7,v3,1792,757.051466,0.01522,11.522015,757.051466
8,v3,2048,528.407274,0.032544,17.196646,528.407274
9,v3,3072,496.406999,0.11688,58.019807,496.406999
10,v3,4096,463.958918,0.296376,137.506062,463.958918
11,v3,5120,438.453714,0.612471,268.540314,438.453714
12,v3,6144,392.049055,1.183544,464.007463,392.049055
13,v3,7168,389.745879,1.890443,736.792412,389.745879
14,v3,8192,353.84671,3.108069,1099.780063,353.84671
15,v3,10240,334.411674,6.422931,2147.903078,334.411674
16,v3,12288,333.121463,11.141449,3711.455724,333.121463
17,v3,16384,292.404079,30.08565,8797.166764,292.404079
18,v3,20480,274.526194,62.586184,17181.546906,274.526194
